epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,6177.89,0.895,0.68358,1.1641,0.89321,0.84483,0.90692,0.67638,1.05602,0.69953,1.39401,0.008438,0.008438,0.008438
73,6263.48,0.91241,0.6773,1.18393,0.82906,0.84372,0.8722,0.65021,1.0664,0.769,1.44102,0.008416,0.008416,0.008416
74,6349.35,0.89608,0.6594,1.1733,0.87597,0.86283,0.8972,0.67264,1.02713,0.68595,1.39502,0.008394,0.008394,0.008394
75,6435.27,0.8937,0.67061,1.16889,0.87292,0.84337,0.89869,0.66982,1.04818,0.70815,1.39024,0.008372,0.008372,0.008372
76,6521.01,0.87875,0.64187,1.16056,0.9012,0.84911,0.91195,0.68636,1.03615,0.68563,1.39664,0.00835,0.00835,0.00835
77,6606.44,0.8956,0.67448,1.17937,0.85965,0.82971,0.87819,0.64635,1.08558,0.78305,1.41979,0.008328,0.008328,0.008328
78,6691.49,0.87691,0.65429,1.1554,0.86714,0.85177,0.89797,0.66637,1.04725,0.71499,1.41598,0.008306,0.008306,0.008306
79,6777.25,0.89025,0.67255,1.17236,0.88505,0.86186,0.89352,0.67912,1.01527,0.6448,1.39162,0.008284,0.008284,0.008284
80,6863.05,0.88815,0.66434,1.17463,0.91027,0.84837,0.91256,0.67605,1.04576,0.67971,1.3948,0.008262,0.008262,0.008262
81,6950.01,0.88194,0.63345,1.15709,0.85959,0.86585,0.895,0.66028,1.06085,0.71772,1.42441,0.00824,0.00824,0.00824
82,7035.23,0.87671,0.65979,1.17052,0.86672,0.82757,0.88366,0.66318,1.05174,0.73972,1.40071,0.008218,0.008218,0.008218
83,7121.34,0.86829,0.63813,1.15778,0.57774,0.46349,0.46872,0.33918,1.51763,2.32897,1.79644,0.008196,0.008196,0.008196
84,7207.05,0.86998,0.6482,1.14758,0.84252,0.8536,0.87074,0.65297,1.04397,0.76425,1.39082,0.008174,0.008174,0.008174
85,7292.69,0.84392,0.62072,1.14034,0.86657,0.87425,0.90026,0.66174,1.04155,0.67183,1.41456,0.008152,0.008152,0.008152
86,7377.28,0.86532,0.64429,1.15551,0.89705,0.85713,0.91625,0.68216,1.03533,0.65887,1.39866,0.00813,0.00813,0.00813
87,7462.22,0.86982,0.63207,1.15393,0.88835,0.86687,0.90334,0.67203,1.03135,0.67995,1.38734,0.008108,0.008108,0.008108
88,7547.06,0.84182,0.61508,1.14651,0.89517,0.84785,0.9052,0.6811,1.03447,0.6673,1.40171,0.008086,0.008086,0.008086
89,7631.75,0.85875,0.62878,1.14976,0.87935,0.83407,0.88867,0.65912,1.06323,0.70989,1.42365,0.008064,0.008064,0.008064
90,7716.75,0.83523,0.61104,1.13128,0.87519,0.80535,0.86933,0.65257,1.05041,0.76969,1.42292,0.008042,0.008042,0.008042
91,7801.94,0.85095,0.60438,1.14377,0.85337,0.82863,0.87697,0.65915,1.0773,0.75562,1.41307,0.00802,0.00802,0.00802
92,7887.61,0.85229,0.62671,1.14872,0.87348,0.83865,0.88793,0.65141,1.09221,0.75105,1.44444,0.007998,0.007998,0.007998
93,7973.59,0.8453,0.5997,1.1433,0.87826,0.85926,0.89599,0.66951,1.05048,0.67125,1.40991,0.007976,0.007976,0.007976
94,8059.34,0.84181,0.58258,1.12946,0.8969,0.8642,0.90467,0.67337,1.02603,0.63878,1.42314,0.007954,0.007954,0.007954
95,8145.23,0.83606,0.59972,1.12958,0.89514,0.85087,0.89579,0.66785,1.01667,0.66425,1.39054,0.007932,0.007932,0.007932
96,8231.27,0.8207,0.58355,1.13222,0.90564,0.82353,0.8948,0.66643,1.04504,0.71248,1.41282,0.00791,0.00791,0.00791
97,8316.97,0.82637,0.58472,1.11806,0.86549,0.86103,0.89483,0.66329,1.05606,0.6881,1.41466,0.007888,0.007888,0.007888
98,8401.91,0.8134,0.5759,1.11884,0.85063,0.86164,0.88735,0.66198,1.05186,0.71209,1.43076,0.007866,0.007866,0.007866
99,8487.5,0.81507,0.58588,1.11247,0.88925,0.85019,0.89306,0.67494,1.01334,0.67795,1.3832,0.007844,0.007844,0.007844
100,8573.87,0.82237,0.58822,1.11183,0.89919,0.82855,0.888,0.66503,1.05398,0.7272,1.43066,0.007822,0.007822,0.007822
101,8658.92,0.8314,0.59202,1.12413,0.91483,0.8568,0.91693,0.68998,1.03652,0.63744,1.42177,0.0078,0.0078,0.0078
102,8744.47,0.80854,0.57802,1.11637,0.89697,0.84238,0.90227,0.67745,1.02725,0.65494,1.4152,0.007778,0.007778,0.007778
103,8830.5,0.82446,0.56761,1.13017,0.91139,0.85364,0.90976,0.68722,0.9953,0.64953,1.36784,0.007756,0.007756,0.007756
104,8916.16,0.81033,0.56351,1.11634,0.9197,0.84769,0.92596,0.68343,1.01822,0.65294,1.38942,0.007734,0.007734,0.007734
105,9001.69,0.7958,0.56494,1.12196,0.90351,0.84645,0.89558,0.67257,1.03334,0.66902,1.41798,0.007712,0.007712,0.007712
106,9087.76,0.79803,0.57956,1.11245,0.90166,0.86707,0.9067,0.67282,1.04342,0.63853,1.42884,0.00769,0.00769,0.00769
107,9173.4,0.80644,0.56799,1.10807,0.91252,0.84657,0.91092,0.68871,1.03397,0.64016,1.41741,0.007668,0.007668,0.007668
108,9258.65,0.79691,0.55732,1.10183,0.83668,0.79875,0.83789,0.6158,1.14933,0.82652,1.48439,0.007646,0.007646,0.007646
109,9344.04,0.79636,0.54616,1.10126,0.90513,0.80145,0.87421,0.65153,1.07572,0.73553,1.42693,0.007624,0.007624,0.007624
110,9429.57,0.79634,0.54523,1.10559,0.90525,0.83704,0.90391,0.6898,1.01674,0.67368,1.39646,0.007602,0.007602,0.007602
111,9515.23,0.79534,0.54449,1.10294,0.88934,0.87118,0.91128,0.68669,1.02687,0.64063,1.41828,0.00758,0.00758,0.00758
112,9600.13,0.77906,0.5547,1.09145,0.91656,0.85494,0.91692,0.70036,0.99581,0.62865,1.37346,0.007558,0.007558,0.007558
113,9685.62,0.79616,0.55729,1.11441,0.91154,0.85108,0.90354,0.68215,1.00596,0.66116,1.38138,0.007536,0.007536,0.007536
114,9771.59,0.79187,0.53827,1.11718,0.91395,0.85065,0.90764,0.68675,1.03564,0.65257,1.40853,0.007514,0.007514,0.007514
115,9857.05,0.79019,0.54935,1.10818,0.88873,0.85608,0.90916,0.68908,1.00615,0.65709,1.37556,0.007492,0.007492,0.007492
116,9942.58,0.79728,0.55333,1.10623,0.88897,0.84738,0.9003,0.68058,1.06098,0.69924,1.4331,0.00747,0.00747,0.00747
117,10028,0.787,0.54389,1.09932,0.82747,0.81934,0.85714,0.64077,1.1052,0.8128,1.48119,0.007448,0.007448,0.007448
118,10112.3,0.79491,0.54241,1.10389,0.88516,0.88813,0.91295,0.69897,1.00928,0.61175,1.38442,0.007426,0.007426,0.007426
119,10198.6,0.78944,0.54064,1.10282,0.87931,0.86717,0.91391,0.69597,1.03235,0.65007,1.39866,0.007404,0.007404,0.007404
120,10284.4,0.76786,0.53494,1.08425,0.92417,0.85958,0.91946,0.69329,1.02229,0.58849,1.41901,0.007382,0.007382,0.007382
121,10370.6,0.77006,0.523,1.08016,0.89806,0.86096,0.90755,0.68093,1.0295,0.63948,1.42088,0.00736,0.00736,0.00736
122,10456.2,0.76531,0.5147,1.08787,0.93469,0.85776,0.91718,0.70073,0.99661,0.61189,1.3742,0.007338,0.007338,0.007338
123,10541.8,0.7622,0.5332,1.08835,0.9076,0.85686,0.90982,0.68513,1.03774,0.62136,1.41569,0.007316,0.007316,0.007316
124,10627,0.75085,0.52191,1.08163,0.9319,0.84856,0.9225,0.69276,1.01104,0.61329,1.39631,0.007294,0.007294,0.007294
125,10713.2,0.77344,0.53874,1.0935,0.92027,0.8466,0.91431,0.69113,1.00599,0.58921,1.39872,0.007272,0.007272,0.007272
126,10798.1,0.7693,0.52417,1.09661,0.92016,0.82135,0.9014,0.68568,1.05049,0.64411,1.42751,0.00725,0.00725,0.00725
127,10884.1,0.75508,0.5062,1.07137,0.9046,0.85442,0.9138,0.69931,0.99121,0.61074,1.38592,0.007228,0.007228,0.007228
128,10970.1,0.76914,0.51576,1.08628,0.89269,0.88102,0.90938,0.69332,1.02349,0.62658,1.42569,0.007206,0.007206,0.007206
129,11055,0.75571,0.52918,1.08145,0.89726,0.8673,0.91471,0.68886,1.03554,0.6337,1.42129,0.007184,0.007184,0.007184
130,11140.6,0.74388,0.51152,1.06895,0.88962,0.8738,0.9077,0.68796,1.02547,0.64413,1.43177,0.007162,0.007162,0.007162
131,11226.4,0.75348,0.52063,1.07317,0.91543,0.8618,0.92613,0.70598,1.00158,0.60426,1.40374,0.00714,0.00714,0.00714
132,11312.4,0.73755,0.49603,1.06251,0.90547,0.86054,0.91412,0.70073,1.0261,0.61473,1.41451,0.007118,0.007118,0.007118
133,11397.6,0.74629,0.519,1.07711,0.90527,0.86124,0.91607,0.69901,1.00176,0.60663,1.39608,0.007096,0.007096,0.007096
134,11483.2,0.73292,0.49551,1.07518,0.90727,0.87072,0.916,0.69378,1.02665,0.62457,1.41855,0.007074,0.007074,0.007074
